symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy,official_broker_net_buy
0050,,,,,2,1,2,43969936,2700000,10531452,2026-09-07,TWSE T86 official,official-only,,,50.5,50.5,
0051,,,,,0,0,0,-981,0,-42442,2026-09-07,TWSE T86 official,official-only,,,0.0,0.0,
0052,,,,,2,0,3,4764078,0,9669194,2026-09-07,TWSE T86 official,official-only,,,42.1,42.1,
0053,,,,,3,0,1,1002,0,11594,2026-09-07,TWSE T86 official,official-only,,,40.0,40.0,
0055,,,,,0,0,0,-94827,0,-368732,2026-09-07,TWSE T86 official,official-only,,,0.0,0.0,
0056,,,,,2,1,2,130946,2860000,1601755,2026-09-07,TWSE T86 official,official-only,,,40.7,40.7,
0057,,,,,0,0,1,-23,0,1125,2026-09-07,TWSE T86 official,official-only,,,40.0,40.0,
0061,,,,,0,0,0,-29000,0,-1419,2026-09-07,TWSE T86 official,official-only,,,0.0,0.0,
1101,,,,,0,4,2,-8736816,31000,151904,2026-09-07,TWSE T86 official,official-only,,,0.0,0.0,
1102,,,,,0,6,1,-1896791,455956,60682,2026-09-07,TWSE T86 official,official-only,,,0.0,0.0,
1103,,,,,2,0,2,8803,0,13000,2026-09-07,TWSE T86 official,official-only,,,40.0,40.0,
1104,,,,,1,0,2,4655,0,11000,2026-09-07,TWSE T86 official,official-only,,,40.0,40.0,
1108,,,,,0,0,0,-25000,0,0,2026-09-07,TWSE T86 official,official-only,,,0.0,0.0,
1109,,,,,2,0,2,10000,0,4900,2026-09-07,TWSE T86 official,official-only,,,40.0,40.0,
1110,,,,,0,0,1,-42000,0,36000,2026-09-07,TWSE T86 official,official-only,,,0.0,0.0,
1201,,,,,0,0,3,-60975,0,11000,2026-09-07,TWSE T86 official,official-only,,,0.0,0.0,
1203,,,,,3,0,0,9000,0,0,2026-09-07,TWSE T86 official,official-only,,,40.0,40.0,
1210,,,,,4,0,1,264323,-4000,18006,2026-09-07,TWSE T86 official,official-only,,,40.1,40.1,
1215,,,,,2,0,3,85698,-1000,16079,2026-09-07,TWSE T86 official,official-only,,,40.0,40.0,
1216,,,,,0,1,2,-945238,15000,2268,2026-09-07,TWSE T86 official,official-only,,,0.0,0.0,
